iter	MultiClass
0	1.789915065
1	1.645626634
2	1.516847535
3	1.408944978
4	1.317743963
5	1.235969493
6	1.176134962
7	1.105235001
8	1.038015
9	0.9812020771
10	0.933534363
11	0.8772468232
12	0.8345231514
13	0.7919157685
14	0.7527012848
15	0.7173793711
16	0.68917254
17	0.6534153779
18	0.6267904531
19	0.6002090112
20	0.573991604
21	0.5544273704
22	0.5317489767
23	0.5077382077
24	0.4893148952
25	0.472560386
26	0.4589325522
27	0.4445848661
28	0.4319250227
29	0.4183520016
30	0.4069783254
31	0.3947340619
32	0.3851474727
33	0.3713693326
34	0.3615348229
35	0.3486412266
36	0.3378638118
37	0.32730459
38	0.3170206089
39	0.3089450184
40	0.3005168
41	0.2901647833
42	0.2817387677
43	0.2738446457
44	0.2661195327
45	0.2598696399
46	0.2526398815
47	0.2456699416
48	0.2394855224
49	0.2330235317
50	0.2286270134
51	0.2218036414
52	0.218479209
53	0.213178636
54	0.2086103723
55	0.2039882968
56	0.198917743
57	0.1937265598
58	0.1898306224
59	0.1852211374
60	0.1815211352
61	0.1781620984
62	0.1739867747
63	0.1705961099
64	0.1665491086
65	0.1642357706
66	0.1615538885
67	0.1591597028
68	0.1565063617
69	0.1537362107
70	0.1507589659
71	0.1484935724
72	0.1450492599
73	0.1437397152
74	0.1411343818
75	0.1396548732
76	0.1370411833
77	0.1352011864
78	0.1327257099
79	0.1304931303
80	0.1280178273
81	0.126359011
82	0.1248037266
83	0.1223342131
84	0.1205168316
85	0.1185896847
86	0.1163956914
87	0.1151311391
88	0.1139033646
89	0.1127618253
90	0.1113271365
91	0.1101292264
92	0.1086300379
93	0.1074048602
94	0.1059240638
95	0.1051086446
96	0.102880963
97	0.1017835798
98	0.1005163547
99	0.09945260667
