iter	Passed	Remaining
0	15	1571
1	30	1481
2	45	1455
3	59	1420
4	74	1417
5	89	1407
6	105	1399
7	119	1379
8	135	1370
9	150	1356
10	165	1340
11	180	1325
12	196	1312
13	211	1298
14	226	1283
15	241	1267
16	256	1250
17	271	1234
18	287	1226
19	302	1209
20	317	1194
21	333	1182
22	348	1167
23	364	1153
24	379	1139
25	394	1123
26	410	1109
27	425	1094
28	440	1079
29	455	1063
30	470	1048
31	487	1036
32	506	1027
33	522	1013
34	541	1005
35	558	993
36	575	980
37	594	969
38	613	959
39	633	949
40	652	939
41	674	931
42	698	926
43	716	912
44	734	897
45	751	882
46	768	866
47	788	854
48	805	838
49	821	821
50	837	804
51	853	787
52	870	772
53	886	754
54	901	737
55	916	720
56	931	702
57	947	686
58	963	669
59	978	652
60	993	635
61	1008	618
62	1024	601
63	1039	584
64	1058	569
65	1073	553
66	1090	536
67	1105	520
68	1121	504
69	1137	487
70	1152	470
71	1168	454
72	1183	437
73	1198	421
74	1214	404
75	1229	388
76	1245	371
77	1261	355
78	1280	340
79	1297	324
80	1313	308
81	1332	292
82	1348	276
83	1366	260
84	1383	244
85	1399	227
86	1415	211
87	1431	195
88	1447	178
89	1465	162
90	1481	146
91	1498	130
92	1514	114
93	1531	97
94	1548	81
95	1564	65
96	1580	48
97	1597	32
98	1613	16
99	1629	0
