iter	Passed	Remaining
0	14	14804
1	28	14052
2	47	15631
3	59	14859
4	73	14545
5	89	14815
6	107	15305
7	124	15396
8	143	15824
9	160	15903
10	177	15921
11	194	16025
12	216	16413
13	241	17014
14	261	17174
15	282	17371
16	299	17327
17	320	17485
18	337	17430
19	353	17308
20	366	17098
21	382	17025
22	398	16935
23	414	16853
24	431	16819
25	444	16669
26	460	16607
27	474	16455
28	487	16328
29	499	16148
30	512	16031
31	527	15954
32	542	15897
33	556	15815
34	569	15700
35	580	15554
36	594	15470
37	608	15412
38	621	15323
39	635	15242
40	647	15140
41	660	15073
42	674	15011
43	688	14952
44	700	14876
45	713	14799
46	727	14751
47	742	14721
48	756	14680
49	771	14650
50	784	14590
51	796	14527
52	810	14480
53	826	14475
54	843	14500
55	860	14503
56	880	14563
57	894	14530
58	913	14570
59	933	14630
60	951	14646
61	968	14651
62	984	14642
63	1002	14655
64	1019	14660
65	1034	14646
66	1052	14655
67	1068	14643
68	1084	14629
69	1100	14623
70	1117	14617
71	1133	14606
72	1149	14595
73	1164	14566
74	1181	14572
75	1196	14547
76	1212	14531
77	1229	14530
78	1247	14548
79	1266	14560
80	1281	14540
81	1299	14546
82	1315	14538
83	1331	14524
84	1348	14519
85	1410	14991
86	1437	15083
87	1453	15066
88	1469	15046
89	1485	15023
90	1501	14994
91	1518	14984
92	1538	15007
93	1554	14978
94	1569	14948
95	1585	14927
96	1599	14893
97	1615	14870
98	1631	14849
99	1648	14837
100	1663	14805
101	1678	14774
102	1696	14771
103	1714	14770
104	1729	14745
105	1745	14719
106	1761	14698
107	1776	14675
108	1794	14665
109	1811	14655
110	1833	14684
111	1849	14664
112	1866	14654
113	1883	14637
114	1900	14626
115	1919	14629
116	1937	14624
117	1957	14634
118	1977	14637
119	1996	14642
120	2025	14712
121	2050	14754
122	2074	14794
123	2095	14803
124	2117	14819
125	2136	14818
126	2159	14844
127	2178	14844
128	2196	14830
129	2213	14812
130	2232	14809
131	2249	14793
132	2268	14786
133	2288	14792
134	2310	14804
135	2328	14791
136	2344	14771
137	2361	14751
138	2381	14750
139	2402	14758
140	2417	14728
141	2438	14735
142	2458	14734
143	2478	14730
144	2496	14718
145	2520	14744
146	2542	14756
147	2561	14744
148	2579	14733
149	2599	14728
150	2612	14691
151	2628	14666
152	2643	14636
153	2659	14607
154	2674	14577
155	2696	14591
156	2716	14586
157	2734	14570
158	2752	14557
159	2770	14546
160	2789	14538
161	2808	14526
162	2826	14513
163	2847	14515
164	2865	14503
165	2884	14489
166	2900	14470
167	2919	14457
168	2939	14454
169	2960	14453
170	2981	14454
171	2999	14441
172	3017	14426
173	3035	14412
174	3054	14401
175	3075	14397
176	3096	14398
177	3117	14396
178	3138	14394
179	3156	14381
180	3187	14420
181	3211	14433
182	3233	14435
183	3253	14426
184	3284	14469
185	3305	14467
186	3329	14475
187	3351	14475
188	3372	14472
189	3392	14464
190	3410	14446
191	3429	14433
192	3446	14411
193	3463	14391
194	3481	14370
195	3496	14341
196	3512	14316
197	3528	14290
198	3542	14258
199	3555	14221
200	3570	14193
201	3584	14161
202	3598	14127
203	3612	14094
204	3626	14063
205	3640	14031
206	3653	13995
207	3667	13963
208	3681	13933
209	3695	13902
210	3709	13870
211	3723	13838
212	3737	13809
213	3761	13814
214	3775	13785
215	3789	13752
216	3802	13720
217	3815	13686
218	3830	13660
219	3843	13628
220	3858	13599
221	3874	13578
222	3889	13551
223	3902	13519
224	3915	13487
225	3929	13456
226	3943	13427
227	3957	13400
228	3971	13372
229	3987	13349
230	4001	13320
231	4013	13286
232	4026	13255
233	4039	13224
234	4052	13191
235	4063	13155
236	4076	13125
237	4090	13096
238	4103	13064
239	4116	13034
240	4129	13003
241	4142	12974
242	4157	12951
243	4171	12923
244	4184	12894
245	4196	12863
246	4209	12831
247	4223	12807
248	4237	12779
249	4250	12751
250	4263	12721
251	4275	12689
252	4289	12665
253	4303	12638
254	4316	12611
255	4329	12581
256	4341	12551
257	4355	12526
258	4369	12501
259	4383	12476
260	4396	12447
261	4408	12418
262	4422	12392
263	4435	12365
264	4448	12338
265	4460	12307
266	4472	12279
267	4486	12253
268	4500	12230
269	4513	12203
270	4525	12173
271	4538	12147
272	4552	12123
273	4565	12097
274	4578	12069
275	4590	12042
276	4604	12018
277	4619	11996
278	4633	11973
279	4645	11945
280	4657	11915
281	4669	11888
282	4684	11867
283	4697	11843
284	4710	11818
285	4723	11793
286	4737	11768
287	4751	11746
288	4766	11727
289	4781	11705
290	4795	11684
291	4810	11662
292	4822	11637
293	4836	11614
294	4851	11594
295	4865	11572
296	4881	11553
297	4895	11532
298	4909	11509
299	4921	11483
300	4934	11459
301	4948	11438
302	4963	11417
303	4976	11393
304	4989	11369
305	5002	11344
306	5015	11322
307	5031	11304
308	5045	11282
309	5058	11259
310	5071	11236
311	5084	11212
312	5098	11191
313	5113	11171
314	5128	11153
315	5143	11133
316	5157	11111
317	5170	11089
318	5183	11065
319	5197	11044
320	5212	11025
321	5227	11006
322	5241	10986
323	5258	10971
324	5273	10953
325	5288	10933
326	5303	10915
327	5316	10892
328	5329	10869
329	5345	10852
330	5359	10833
331	5375	10815
332	5389	10794
333	5402	10773
334	5415	10750
335	5429	10729
336	5445	10712
337	5460	10695
338	5475	10677
339	5490	10657
340	5504	10637
341	5518	10617
342	5532	10596
343	5546	10576
344	5565	10565
345	5579	10545
346	5594	10527
347	5612	10514
348	5632	10507
349	5650	10494
350	5671	10486
351	5691	10477
352	5709	10463
353	5726	10450
354	5744	10437
355	5759	10419
356	5774	10401
357	5790	10384
358	5806	10367
359	5822	10351
360	5837	10333
361	5853	10315
362	5868	10297
363	5882	10278
364	5895	10256
365	5908	10235
366	5922	10215
367	5938	10198
368	5954	10181
369	5969	10164
370	5983	10145
371	5999	10127
372	6012	10107
373	6025	10084
374	6038	10064
375	6053	10047
376	6069	10029
377	6083	10010
378	6098	9992
379	6112	9972
380	6126	9953
381	6139	9932
382	6154	9914
383	6168	9895
384	6184	9878
385	6199	9861
386	6213	9842
387	6229	9826
388	6244	9808
389	6257	9787
390	6270	9766
391	6285	9748
392	6301	9733
393	6317	9717
394	6334	9702
395	6351	9687
396	6366	9670
397	6381	9652
398	6397	9636
399	6413	9619
400	6427	9601
401	6442	9583
402	6455	9563
403	6468	9543
404	6482	9524
405	6496	9504
406	6509	9484
407	6521	9462
408	6533	9441
409	6546	9421
410	6559	9400
411	6572	9380
412	6584	9357
413	6596	9337
414	6610	9318
415	6623	9298
